,index,EU,ED,Spot,LU,LD
0,1-5-25 126,64.32144458333332,115.0242670833333,154.84914872340178,47.104072273972584,59.61496583105022
0,1-5-25 127,64.32144458333333,115.02426708333336,145.9189295167237,46.94321881906392,59.86349515011415
0,1-5-25 128,42.08791916666667,25.982915000000002,165.96521825753425,47.57095882020548,59.93540651255709
0,1-5-25 129,51.84272208333334,5.8658279166666665,165.96521825753427,47.5709588202055,59.9354065125571
0,1-5-25 130,51.842722083333335,5.8658279166666665,166.10441517482877,47.39302657591324,59.39658257420089
0,1-5-25 131,54.96269416666666,116.16028791666666,154.84914872340184,47.104072273972584,59.61496583105023
0,1-5-25 132,137.27226624999997,110.91826875,153.50958751329904,47.410876159246584,59.01179437157534
0,1-5-25 133,54.96269416666667,116.16028791666666,154.84914872340184,47.730515721461195,58.99490426312787
0,1-5-25 134,137.27226624999994,110.91826874999998,154.84914872340178,47.10407227397258,59.614965831050206
0,1-5-25 135,54.96269416666666,116.16028791666666,154.8491487234018,47.410876159246584,59.01179437157534
0,1-5-25 136,64.32144458333332,115.02426708333333,145.91892951672367,46.94321881906391,59.86349515011415
0,1-5-25 137,137.27226624999997,110.91826875000002,153.5095875132991,47.41087615924659,59.01179437157535
0,1-5-25 138,38.471596666666656,71.33803166666662,154.84914872340178,47.41087615924658,59.01179437157534
0,1-5-25 139,42.08791916666669,25.982915000000002,166.10793971826484,47.57095882020548,59.93540651255709
0,1-5-25 140,37.217539583333334,189.22045416666663,153.6728923083904,47.85059778082192,58.64512363299088
0,1-5-25 141,51.84272208333334,5.8658279166666665,154.84914872340187,47.57095882020548,59.9354065125571
0,1-5-25 142,64.32144458333335,115.02426708333337,154.8964957571918,47.39302657591325,59.3965825742009
0,1-5-25 143,51.84272208333334,5.865827916666668,165.96521825753427,47.5709588202055,59.9354065125571
0,1-5-25 144,64.32144458333332,115.02426708333333,145.96627655051367,46.94321881906391,59.86349515011414
0,1-5-25 145,64.32144458333333,115.02426708333336,154.8964957571918,47.410876159246584,59.01179437157535
0,1-5-25 146,38.47159666666666,71.33803166666662,154.8491487234018,47.10407227397258,59.614965831050206
0,1-5-25 147,38.47159666666666,71.33803166666664,154.84914872340178,47.410876159246584,59.01179437157534
0,1-5-25 148,37.21753958333332,189.2204541666666,153.63961890559358,47.28692635445204,59.52079372659816
0,1-5-25 149,38.47159666666666,71.33803166666664,154.84914872340178,47.410876159246584,59.01179437157534
0,1-5-25 150,51.84272208333334,5.8658279166666665,154.89649575719176,47.1040722739726,59.61496583105023
0,1-5-25 151,54.96269416666667,116.16028791666666,153.5336953910959,47.730515721461195,58.99490426312787
0,1-5-25 152,51.842722083333314,5.8658279166666665,145.9189295167237,46.94321881906391,59.86349515011414
0,1-5-25 153,64.32144458333332,115.02426708333331,154.84914872340178,47.104072273972584,59.61496583105022
0,1-5-25 154,51.84272208333334,5.8658279166666665,166.10793971826487,47.57095882020548,59.9354065125571
0,1-5-25 155,64.32144458333332,115.02426708333333,154.89649575719173,47.410876159246584,59.01179437157534
0,1-5-25 156,38.471596666666656,71.33803166666662,154.84914872340178,47.104072273972584,59.614965831050206
0,1-5-25 157,137.27226624999997,110.91826875,154.84914872340184,47.57095882020548,59.93540651255709
0,1-5-25 158,137.27226624999994,110.91826874999998,153.50958751329904,47.41087615924658,59.01179437157534
0,1-5-25 159,51.842722083333335,5.8658279166666665,154.89649575719176,47.57095882020548,59.93540651255708
0,1-5-25 160,51.84272208333332,5.8658279166666665,154.84914872340178,47.10407227397258,59.614965831050206
0,1-5-25 161,42.08791916666667,25.982914999999995,165.96521825753425,47.57095882020548,59.9354065125571
0,1-5-25 162,137.27226625,110.91826875,153.65230897402967,47.410876159246584,59.01179437157535
0,1-5-25 163,51.84272208333334,5.8658279166666665,154.89649575719181,47.730515721461195,58.994904263127886
0,1-5-25 164,51.84272208333334,5.8658279166666665,165.96521825753425,47.57095882020548,59.93540651255708
0,1-5-25 165,137.27226624999997,110.91826875,154.8491487234018,47.73051572146119,58.99490426312786
0,1-5-25 166,51.842722083333335,5.8658279166666665,153.6728923083904,47.850597780821914,58.645123632990874
0,1-5-25 167,51.842722083333335,5.8658279166666665,154.8491487234018,47.57095882020548,59.93540651255708
0,1-5-25 168,51.842722083333314,5.8658279166666665,154.84914872340178,47.41087615924658,59.01179437157534
0,1-5-25 169,51.84272208333332,5.8658279166666665,145.9662765505137,46.94321881906391,59.86349515011414
0,1-5-25 170,51.842722083333335,5.8658279166666665,145.9662765505137,46.408788522260274,58.35177361187215
0,1-5-25 171,137.27226624999994,110.91826875,154.84914872340178,47.57095882020548,59.93540651255709
0,1-5-25 172,137.27226625,110.91826875000002,154.84914872340187,47.104072273972626,59.61496583105025
